Year,Country,Documents,Citable documents,Sqrt(Documents),Citations,Self-citations,Sqrt(citations),Citations per document,H index,continent
2011,Argentina,11758,10859,104.2065257,182816,35810,383,15.55,393,Sur America
2012,Argentina,12286,11324,106.4142848,186311,33439,391,15.16,393,Sur America
2013,Argentina,12445,11413,106.8316433,147059,28417,344,11.82,393,Sur America
2014,Argentina,13513,12273,110.7835728,130538,24093,326,9.66,393,Sur America
2015,Argentina,13548,12277,110.8016245,106104,19285,295,7.83,393,Sur America
2016,Argentina,13880,12713,112.7519401,75872,13597,250,5.47,393,Sur America
2017,Argentina,14192,12973,113.8990781,38089,7254,176,2.68,393,Sur America
2018,Argentina,14737,13185,114.8259553,9230,1926,85,0.63,393,Sur America
1996,Denmark,8249,8079,89.88325762,300210,40943,509,36.39,705,Europa
1997,Denmark,9434,9283,96.3483264,352607,45653,554,37.38,705,Europa
1998,Denmark,9599,9420,97.05668447,394570,48284,588,41.11,705,Europa
1999,Denmark,9544,9354,96.71607933,406406,51311,596,42.58,705,Europa
2000,Denmark,10184,9892,99.45853407,461293,53995,638,45.3,705,Europa
2001,Denmark,10136,9825,99.12113801,465133,55255,640,45.89,705,Europa
2002,Denmark,10411,10012,100.059982,443736,53689,625,42.62,705,Europa
2003,Denmark,11498,10922,104.5083729,520261,64907,675,45.25,705,Europa
2004,Denmark,12233,11575,107.587174,537146,64065,688,43.91,705,Europa
2005,Denmark,13443,12491,111.7631424,560246,65092,704,41.68,705,Europa
2006,Denmark,14252,13061,114.2847321,531539,66052,682,37.3,705,Europa
2007,Denmark,15146,13809,117.5117015,531430,65985,682,35.09,705,Europa
2008,Denmark,15787,14293,119.5533354,529397,67503,680,33.53,705,Europa
2009,Denmark,17519,15584,124.8358923,565896,71001,703,32.3,705,Europa
2010,Denmark,18560,16679,129.1472028,584668,81271,710,31.5,705,Europa
2011,Denmark,20542,18498,136.0073527,576313,89131,698,28.06,705,Europa
2012,Denmark,22759,20283,142.4183977,576365,84062,702,25.32,705,Europa
2013,Denmark,24314,21328,146.0410901,498222,77586,649,20.49,705,Europa
2014,Denmark,26124,23478,153.2253243,460664,72915,623,17.63,705,Europa
2015,Denmark,27101,24383,156.1505684,383218,59991,569,14.14,705,Europa
2016,Denmark,27972,24793,157.4579309,268384,43327,474,9.59,705,Europa
2017,Denmark,28825,25259,158.9308026,135159,24836,332,4.69,705,Europa
2018,Denmark,29572,25662,160.1936328,32943,6787,162,1.11,705,Europa
1996,Hungary,4695,4591,67.75691847,83076,15536,260,17.69,419,Europa
1997,Hungary,5260,5176,71.94442299,92997,16033,277,17.68,419,Europa
1998,Hungary,5704,5636,75.07329752,113840,18236,309,19.96,419,Europa
1999,Hungary,5435,5327,72.98630008,110875,18019,305,20.4,419,Europa
